CATEGORIA QUADS SENIOR;;;;;;;; ; ; ;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
74;SEBASTIAN FOCHE;24;24;48;24;24;48;24;24;48;144;
77;CLAUDIO KRAL;19;22;41;20;20;40;22;22;44;125;
12;GERMAN WOLEMBERG;20;0;20;22;22;44;20;20;40;104;
26;SANTIAGO FEBRE;22;19;41;19;18;37;0;0;0;78;
841;HERNAN BRESISKI;18;20;38;18;19;37;0;0;0;75;
83;MAURO SILBERMAN;0;0;0;17;17;34;19;19;38;72;
;;;;;;;;;;;;
CATEGORIA MX 3;;;;;;;;;;;; 
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
90;JONATHAN ESCHER;24;15;39;24;24;48;24;19;43;130;
7;WALTER CHIMKO;20;22;42;19;20;39;22;24;46;127;
27;MARIANO CARDOZO;19;19;38;0;0;0;20;22;42;80;
33;LUCIANO ROSNISKI;17;17;34;0;0;0;19;20;39;73;
25;ANGEL CORONEL;22;24;46;0;0;0;17;0;17;63;
23;ADRIAN GOLEMBA;0;0;0;20;23;43;0;0;0;43;
49;DAIMON BERGER;0;0;0;22;18;40;0;0;0;40;
78;RAHIR CUSTODIO;0;0;0;18;19;37;0;0;0;37;
88;CESAR PIÑEIRO;16;20;36;0;0;0;0;0;0;36;
211;WALTER NARCISO;18;18;36;0;0;0;0;0;0;36;
97;MARCOS ROBE;15;16;31;0;0;0;0;0;0;31;
22;JONATAN MUSSINI;14;14;28;0;0;0;0;0;0;28;
299;GUIDO KARUCHEK;0;0;0;0;17;17;0;0;0;17;
95;MATIAS RODRIGUEZ;13;0;13;0;0;0;0;0;0;13;
;;;;;;;;;;;;
CATEGORIA MINICROSS A;;;;;;;;;;;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
65;TULIO UMFIER;24;24;48;0;0;0;22;22;44;92;
93;LIONEL TARNOSKI;0;0;0;0;0;0;24;24;48;48;
;;;;;;;;;;;;
CATEGORIA MINICROSS B;;;;;;;;;;;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
11;BADIALI CHACON;24;24;48;0;0;0;24;24;48;96;
26;FABIAN KELM;0;0;0;24;24;48;0;0;0;48;
211;LUAN NARCISO;22;22;44;0;0;0;0;0;0;44;
1;JOAQUIN ZAPF ;0;0;0;0;0;0;22;22;44;44;
65;AMANDA UNFIER;20;20;40;0;0;0;0;0;0;40;
;;;;;;;;;;;;
CATEGORIA MINI QUADS;;;;;;;;;;;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
12;MAXIMO WOLENBERG;24;24;48;24;24;48;24;22;46;142;
57;LAUTARO DE OLIVERA;22;20;42;0;0;0;22;24;46;88;
22;VALENTINA ZADO;20;22;42;22;22;44;0;0;0;86;
89;DENIS BUJAR;0;0;0;0;0;0;20;20;40;40;
22;JEREMI DIBS;0;0;0;20;20;40;0;0;0;40;
22;FAUSTO SILBERMAN;0;0;0;0;0;0;19;3;22;22;
;;;;;;;;;;;;
CATEGORIA QUADS B;;;;;;;;;;;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
95;JUAN ARIEL WRUBEL;22;3;25;22;22;44;20;20;40;109;
512;LAUTARO ZADO;24;24;48;24;24;48;0;0;0;96;
22;PABLO EMANUEL BULAK;0;0;0;0;0;0;24;24;48;48;
989;DANIEL CARLOS BUJAR;0;0;0;0;0;0;22;22;44;44;
958;JONATHAN FRANCO;0;0;0;20;20;40;0;0;0;40;
;;;;;;;;;;;;
CATEGORIA QUADS A;;;;;;;;;;;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
4;SANTINO FROY;22;24;46;24;24;48;24;24;48;142;
8;JUAN GABRIEL KRAL;24;22;46;22;22;44;22;22;44;134;
25;SEBASTIAN ROSNISKI;20;20;40;19;19;38;17;18;35;113;
315;FERNANDO FRANCO;19;19;38;18;18;36;18;17;35;109;
5;MARCOS LANGER;0;0;0;20;20;40;19;20;39;79;
153;FACUNDO FRANCO;18;0;18;17;0;17;20;19;39;74;
;;;;;;;;;;;;
CATEGORIA MASTER A;;;;;;;;;;;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
2;ADRIAN MATTJE;17;22;39;24;24;48;22;22;44;131;
53;SANDRO KLEIBERT;20;18;38;22;22;44;18;18;36;118;
11;LUIS CHACON;24;24;48;0;0;0;24;24;48;96;
89;TOMAS SCHRODER;22;19;41;0;0;0;19;20;39;80;
55;GUSTAVO RIOS;18;20;38;0;0;0;20;19;39;77;
817;CRISTIAN OJEDA;19;17;36;0;0;0;17;17;34;70;
;;;;;;;;;;;;
CATEGORIA MASTER B;;;;;;;;;;;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
93;SANDRO DIAZ;24;24;48;24;24;48;24;24;48;144;
85;MOACIR VOGL;22;22;44;22;22;44;22;22;44;132;
;;;;;;;;;;;;
CATEGORIA VELO 200;;;;;;;;;;;;
#;Piloto;F1 Manga 1;F1 Manga 2;Puntos F1;F2 Manga 1;F2 Manga 2;Puntos F2;F3 Manga 1;F3 Manga 2;Puntos F3;Total Campeonato;
85;MOACIR VOGL;20;20;40;18;18;36;20;20;40;116;
23;ADRIAN GOLEMBA;0;0;0;24;24;48;24;24;48;96;
24;GASTON MELLO;24;24;48;0;0;0;0;0;0;48;
621;JONATHAN BOHN;22;22;44;0;0;0;0;0;0;44;
44;MAXIMO OTT;0;0;0;22;22;44;0;0;0;44;
78;LUCAS CUSTODIO;0;0;0;0;0;0;22;22;44;44;
18;JUNIOR NUÑEZ;0;0;0;20;20;40;0;0;0;40;
;;;;;;;;;;;;
CATEGORIA VELO 250;;;;;;;;;;;;
